trajectory_id,mean_sojourn_time,variance
1,1.5269316721324018,0.9600450767555436
2,1.6809581117980696,1.192316094955845
3,1.572195751105278,1.1685849220123485
4,1.70276170158265,1.1848057580470888
5,2.010911101642633,2.5710039754717102
6,1.596026254520616,1.2278658942114367
7,1.6865840776314973,1.3311771607041705
8,1.8575225115633756,2.1064497522077574
9,1.7699159649358787,1.6681254888979855
10,1.6354413676069162,1.203716401368125
11,1.6989047530781998,1.3392281450988022
12,1.767181128540818,1.3109834669013847
13,1.7962833176691253,1.4016762836983274
14,1.6638627300642987,1.458245256607808
15,1.4808451867933374,0.889059852452389
16,1.6126398250876275,1.052978360793956
17,1.6373739332225636,1.3479707413823891
18,1.6044143149573384,1.1307627988927433
19,1.552813030774427,0.9094216241471011
20,1.6128492223949804,1.0903591193377966
21,1.9681198879333897,2.165089647765996
22,1.684187318430995,1.2855535509057818
23,1.6235411693222093,1.183099409473906
24,1.6975014975362583,1.0823896506241182
25,1.6901777896227328,1.0689174306940337
26,1.6275223989118963,0.9875716231353131
27,1.7146301272106999,1.2650640036350114
28,1.6546524253143666,1.4459051791077553
29,1.7686824204759701,1.4200278863643934
30,1.7956590738734841,1.694360901964694
31,1.811379471260817,1.715425802392323
32,1.906129195126011,1.7803592594607371
33,1.5555224230886864,1.1522185390711641
34,1.5663250209584763,0.9328164742452206
35,1.7148094517212749,1.4377533600802912
36,1.6417397194145555,1.175810300221231
37,1.9798284130033847,2.0783724468073803
38,1.7281802854299766,1.4462847864000186
39,1.67035537830106,1.0122486313920105
40,1.6932274042493258,1.0953798429907766
41,1.5736345603755144,1.1306462907917174
42,1.8472219241143844,1.6669591073777614
43,1.8887288527554462,1.6704965929111109
44,1.7062420644955116,1.1955251735802772
45,1.6971839585084063,1.239437016960973
46,1.5755982810386786,1.0587201116299452
47,1.6944037089204707,1.3089609657230665
48,1.5209253131577578,0.8527808159262102
49,2.0313979616155904,1.6785384523414744
50,1.5973235817537472,1.0572574939771915
51,1.7770651988417163,1.5214559338919436
52,1.610177977198285,1.018100360848789
53,1.5577186653145303,1.3457250753566379
